Weight_Density,Charge_Cycle,Charge_Description,Charge_ID,Contract_Start_Date,SK_Contract_Start_Date,SK_Charge,Price,SOURCE_SYSTEM,Contract_Stop_Date,Contract_Type,Charge_Waste_Code,Charge_Waste_Code_Description,Is_Contracted,Units,Is_Deleted,Deletion_Date,Charge_Frequency
NULL,W,Rent 3.0M Recycle Bin,CH233126,2021-05-04 00:00:00.0000000,20210504,1414471,1.500,VRP,2025-05-04 00:00:00.0000000,S4,NULL,NULL,0,1.000,0,NULL,NULL
E80,1,Clear 240LT Cart,CH177804,2016-09-30 00:00:00.0000000,20160930,614016,14.090,VRP,2017-09-29 00:00:00.0000000,D,NULL,NULL,0,1.000,0,NULL,11
NULL,W,Rent 4.5M Bin,CH239312,2019-05-28 00:00:00.0000000,20190528,64812,1.500,VRP,2022-05-28 00:00:00.0000000,RN,NULL,NULL,0,1.000,0,NULL,NULL
NULL,R,Clear 6.0M Skip Bin,CH163238,2019-06-06 00:00:00.0000000,20190606,340665,430.240,VRP,2020-06-06 00:00:00.0000000,R,NULL,NULL,0,1.000,1,2021-10-06 19:01:49.6770000,REQ
BAJCAEBAVN,1,Clear 1100LT Cart,CH198283,2021-08-01 00:00:00.0000000,20210801,386190,12.600,VRP,2022-07-31 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,11
NULL,R,Clear 6.0M Bin (LO),CH523628,2020-12-22 00:00:00.0000000,20201222,865595,432.000,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C60,4,Clear 3.0M Recycle Bin,CH155137,2021-06-08 00:00:00.0000000,20210608,204391,20.910,VRP,2024-06-07 00:00:00.0000000,SN,NULL,NULL,1,1.000,0,NULL,44
NULL,R,Clear 9.0M Skip Bin,CH245575,2021-05-11 00:00:00.0000000,20210511,1413378,589.000,VRP,2021-08-11 00:00:00.0000000,T,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
DCXAAQDAAA,16,Grease Trap Service P/LTR,CH514018,2019-07-01 00:00:00.0000000,20190701,613170,0.170,VRP,2024-06-30 00:00:00.0000000,D,NULL,NULL,1,2000.000,0,NULL,G6
E40,1,Clear 240LT Recycle Cart,CH49543,2017-07-12 00:00:00.0000000,20170712,552953,22.000,VRP,2020-07-12 00:00:00.0000000,S3,NULL,NULL,0,1.000,0,NULL,11
NULL,M,Rent Monthly 1.5M Bin,CH95958,2015-12-07 00:00:00.0000000,20151207,506694,5.000,VRP,2018-12-06 00:00:00.0000000,S3,NULL,NULL,0,1.000,0,NULL,NULL
C25,1,Clear 1100LT Co-Mingle Ca,CH94227,2019-02-28 00:00:00.0000000,20190228,486995,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
E80,1,Clear Cust 1100LT Co-Ming,CH431129,2017-07-31 00:00:00.0000000,20170731,622074,12.220,VRP,2020-06-30 00:00:00.0000000,SO,NULL,NULL,0,2.000,0,NULL,11
E80,1,Clear 1100LT Cart,CH166975,2015-09-01 00:00:00.0000000,20150901,630103,50.490,VRP,2018-08-31 00:00:00.0000000,S3,NULL,NULL,0,5.000,0,NULL,11
E80,1,Clear 1100LT Cart,CH242752,2017-04-10 00:00:00.0000000,20170410,754273,51.320,VRP,2019-12-08 00:00:00.0000000,SO,NULL,NULL,0,1.000,0,NULL,11
C100,1,Clear 1.5M Bin,CH128547,2020-02-25 00:00:00.0000000,20200225,539903,68.430,VRP,2022-02-24 00:00:00.0000000,SN,NULL,NULL,1,1.000,0,NULL,11
NULL,W,Rent 1100LT Cart,CH159396,2019-01-09 00:00:00.0000000,20190109,615418,1.000,VRP,2020-01-09 00:00:00.0000000,SN,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Tip P/Tonne 25M Bin,CH155915,2020-01-01 00:00:00.0000000,20200101,327052,0.000,VRP,2022-12-31 00:00:00.0000000,T,NULL,NULL,0,1.000,0,NULL,REQ
NULL,W,Rent 240LT Cart,CH140303,2014-01-08 00:00:00.0000000,20140108,806615,0.650,VRP,2015-07-02 00:00:00.0000000,SO,NULL,NULL,0,1.000,0,NULL,NULL
C60,2,Clear 3.0M Recycle Bin,CH507854,2020-02-21 00:00:00.0000000,20200221,672083,38.470,VRP,2022-09-11 00:00:00.0000000,SO,NULL,NULL,1,1.000,0,NULL,21
NULL,R,Clear 12M Skip Bin,CH258363,2021-06-08 00:00:00.0000000,20210608,44325,302.900,VRP,2024-07-08 00:00:00.0000000,RN,60,General Dry Waste only,1,1.000,0,NULL,REQ
NULL,W,Rent 240LT Recycle Cart,CH56628,2019-05-14 00:00:00.0000000,20190514,617388,1.000,VRP,2022-05-14 00:00:00.0000000,SN,NULL,NULL,0,1.000,0,NULL,NULL
E84,1,Clear 1.5M Bin,CH14646,2017-10-01 00:00:00.0000000,20171001,806526,42.470,VRP,2018-10-01 00:00:00.0000000,S1,NULL,NULL,0,1.000,1,2021-08-31 07:48:37.9030000,NULL
E205,R,Clear 3.0M Bin,CH209712,2010-06-25 00:00:00.0000000,20100625,566775,177.440,VRP,2012-06-24 00:00:00.0000000,S2,NULL,NULL,0,1.000,0,NULL,REQ
C80,1,Clear 3.0M Bin,CH52226,2019-08-01 00:00:00.0000000,20190801,478250,100.000,VRP,2022-07-31 00:00:00.0000000,R3,NULL,NULL,1,1.000,0,NULL,11
C80,1,Clear 660LT Cart,CH531861,2021-07-01 00:00:00.0000000,20210701,1435024,13.800,VRP,2024-06-30 00:00:00.0000000,S3,NULL,NULL,1,2.000,1,2021-09-01 19:43:05.3540000,NULL
E290,R,Clear 3.0M Bin,CH6329,2001-03-29 00:00:00.0000000,20010329,547324,220.520,VRP,2019-01-01 00:00:00.0000000,SO,NULL,NULL,0,1.000,0,NULL,REQ
NULL,4,Clear 20M Rec Nil Charge,CH91347,2015-03-26 00:00:00.0000000,20150326,618944,0.000,VRP,2050-05-31 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,41
E164,R,Clear 4.5M Bin,CH78122,2015-04-27 00:00:00.0000000,20150427,660699,351.340,VRP,2018-04-27 00:00:00.0000000,S3,NULL,NULL,0,1.000,0,NULL,REQ
NULL,R,Clear 30M Bin (HL),CH231445,2021-04-01 00:00:00.0000000,20210401,1385503,195.000,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C80,1,Clear 1.5M Bin,CH212800,2020-10-26 00:00:00.0000000,20201026,837102,38.010,VRP,2021-10-26 00:00:00.0000000,T,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
E79,1,Clear 3.0M Bin,CH69524,2019-04-01 00:00:00.0000000,20190401,594322,83.780,VRP,2022-04-30 00:00:00.0000000,D,NULL,NULL,1,6.000,0,NULL,11
C80,1,Clear 3.0M Bin,CH211315,2019-11-04 00:00:00.0000000,20191104,556994,43.980,VRP,2022-11-03 00:00:00.0000000,S3,NULL,NULL,1,1.000,0,NULL,11
NULL,12,Grease Trap Service P/LTR,CH125419,2019-10-01 00:00:00.0000000,20191001,761132,0.186,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Levy Environmental Permit,CH531359,2021-05-27 00:00:00.0000000,20210527,1426107,65.000,VRP,2022-05-26 00:00:00.0000000,S1,NULL,NULL,0,1.000,0,NULL,REQ
C80,2,Clear 3.0M Bin,CH255404,2020-10-01 00:00:00.0000000,20201001,264391,73.480,VRP,2021-10-01 00:00:00.0000000,S1,60,General Dry Waste only,0,1.000,0,NULL,21
C100,1,Clear Customer 240LT Cart,CH69528,2019-04-01 00:00:00.0000000,20190401,812123,10.750,VRP,2022-04-30 00:00:00.0000000,D,NULL,NULL,1,80.000,0,NULL,11
NULL,2,PortableToilet ServNilChg,CH232899,2021-03-03 00:00:00.0000000,20210303,893817,0.000,VRP,2022-06-30 00:00:00.0000000,T,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Tip P/Tonne 6.0M Skip Bin,CH238710,2021-05-04 00:00:00.0000000,20210504,1407778,197.640,VRP,2022-05-04 00:00:00.0000000,T,NULL,NULL,0,1.000,1,2021-10-14 09:05:41.4960000,REQ
E350,4,Clear 3.0M Bin,CH73399,2012-09-24 00:00:00.0000000,20120924,654652,222.470,VRP,2013-09-24 00:00:00.0000000,S1,NULL,NULL,0,1.000,0,NULL,44
NULL,M,Rent Monthly 3.0M Bin,CH173198,2019-11-01 00:00:00.0000000,20191101,127311,30.000,VRP,2020-10-30 00:00:00.0000000,X,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C80,1,Clear 4.5M Recycle Bin,CH96512,2021-11-08 00:00:00.0000000,20211108,626010,5.000,VRP,2022-11-08 00:00:00.0000000,S1,NULL,NULL,1,1.000,0,NULL,11
BADBAEBAYI,2,Clear 1.5M Bin,CH195075,2016-02-08 00:00:00.0000000,20160208,215849,33.510,VRP,2018-02-07 00:00:00.0000000,D,NULL,NULL,0,1.000,0,NULL,21
NULL,W,Rent 23M Skip Bin,CH245341,2018-11-01 00:00:00.0000000,20181101,418829,15.500,VRP,2021-11-01 00:00:00.0000000,S3,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
E100,R,Clear 1.5M Bin Nil Charge,CH221216,2021-06-14 00:00:00.0000000,20210614,1447777,0.000,VRP,2022-06-13 00:00:00.0000000,N,NULL,NULL,0,1.000,0,NULL,REQ
C35,1,Clear 3.0M Rec Nil Charge,CH229017,2020-01-01 00:00:00.0000000,20200101,366661,0.000,VRP,2022-12-31 00:00:00.0000000,D,10,Cardboard Recycle,1,1.000,0,NULL,11
C100,4,Clear 3.0M Bin,CH300662,2020-08-21 00:00:00.0000000,20200821,772306,149.810,VRP,2023-08-21 00:00:00.0000000,S3,NULL,NULL,1,1.000,0,NULL,42
E80,1,Clear 240LT Cart,CH49546,2017-07-12 00:00:00.0000000,20170712,527978,24.680,VRP,2020-07-12 00:00:00.0000000,S3,NULL,NULL,0,2.000,0,NULL,11
C150,R,Clear 3.0M Bin,CH232724,2021-05-05 00:00:00.0000000,20210505,1408960,187.420,VRP,2050-12-31 00:00:00.0000000,T,60,General Dry Waste only,0,1.000,0,NULL,REQ
AA7CAEBAVM,1,Clear 1100LT Cart,CH237090,2021-05-01 00:00:00.0000000,20210501,1396796,19.460,VRP,2025-04-30 00:00:00.0000000,D,NULL,NULL,1,2.000,0,NULL,11
NULL,R,Clear 12M Bin,CH221685,2020-11-13 00:00:00.0000000,20201113,845004,844.600,VRP,2021-02-13 00:00:00.0000000,T,NULL,NULL,0,1.000,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Clear 12M Bin (HL),CH63887,2020-08-01 00:00:00.0000000,20200801,544058,230.200,VRP,2022-08-01 00:00:00.0000000,R2,NULL,NULL,1,1.000,0,NULL,NULL
NULL,R,Weight of Infectious KGS,CH234391,2018-01-17 00:00:00.0000000,NULL,262063,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
E25,1,Clear 360LT Rec Nil Chg,CH180467,2017-06-30 00:00:00.0000000,20170630,710514,0.000,VRP,2050-06-30 00:00:00.0000000,D,NULL,NULL,1,3.000,0,NULL,11
NULL,M,Rent Monthly 240LT Recycl,CH49545,2017-07-12 00:00:00.0000000,20170712,776031,2.100,VRP,2020-07-12 00:00:00.0000000,S3,NULL,NULL,0,1.000,0,NULL,NULL
NULL,1,Clear Customer 6.0M Recyc,CH108505,2019-07-01 00:00:00.0000000,NULL,198324,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
DFVBAEBA2N,1,Clear 3.0M Bin,CH155179,2020-05-01 00:00:00.0000000,20200501,249938,49.340,VRP,2023-04-30 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,11
C80,1,Clear 1100LT Co-Mingle Ca,CH117732,2020-05-01 00:00:00.0000000,20200501,485143,27.990,VRP,2022-05-01 00:00:00.0000000,R2,NULL,NULL,1,1.000,0,NULL,11
NULL,R,Grease Trap Service P/LTR,CH220678,2019-11-04 00:00:00.0000000,20191104,1422235,0.170,VRP,2022-11-03 00:00:00.0000000,S3,NULL,NULL,1,2000.000,0,NULL,REQ
E245,R,Clear 4.5M Bin,CH228340,2020-05-23 00:00:00.0000000,20200523,873667,433.970,VRP,2021-05-23 00:00:00.0000000,N,NULL,NULL,0,1.000,0,NULL,REQ
c25,1,Clear 1100LT Co-Mingle Ca,CH127099,2020-08-01 00:00:00.0000000,20200801,240754,12.160,VRP,2022-06-30 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,11
E47,R,Clear Cust 30M Recyc Pack,CH232426,2020-11-01 00:00:00.0000000,20201101,710119,215.410,VRP,2021-10-31 00:00:00.0000000,R1,NULL,NULL,0,1.000,0,NULL,REQ
KMTSV00115,1,Clear 3.0M Bin,CH174527,2019-11-01 00:00:00.0000000,20191101,9395,42.810,VRP,2020-06-01 00:00:00.0000000,X,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Tip P/M3 8.0M Bin (LO),CH515170,2020-07-16 00:00:00.0000000,NULL,556260,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Tip P/LTR Waste Oil,CH64140,2021-05-24 00:00:00.0000000,20210524,1423436,0.650,VRP,2022-05-24 00:00:00.0000000,N,NULL,NULL,0,1.000,0,NULL,REQ
NULL,R,Clear 9.0M Bin (LO),CH524546,2021-01-18 00:00:00.0000000,20210118,873978,442.810,VRP,2022-01-17 00:00:00.0000000,N,NULL,NULL,0,1.000,0,NULL,REQ
NULL,R,Clear 12M Bin,CH240821,2021-05-20 00:00:00.0000000,20210520,1421043,295.000,VRP,2022-05-19 00:00:00.0000000,T,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C100,2,Clear 3.0M Bin,CH224129,2020-02-19 00:00:00.0000000,20200219,547823,172.700,VRP,2023-02-19 00:00:00.0000000,S3,NULL,NULL,1,1.000,0,NULL,21
C100,2,Clear 1.5M Bin,CH229433,2019-03-14 00:00:00.0000000,20190314,100907,115.760,VRP,2022-03-14 00:00:00.0000000,RN,60,General Dry Waste only,1,1.000,0,NULL,22
NULL,6,Service 22LT Sanitary Bin,CH232088,2017-11-01 00:00:00.0000000,20171101,26070,11.770,VRP,2020-11-01 00:00:00.0000000,SN,NULL,NULL,0,1.000,0,NULL,66
C100,1,Clear 3.0M Bin Nil Charge,CH224942,2020-01-01 00:00:00.0000000,20200101,302912,0.000,VRP,2022-12-31 00:00:00.0000000,D,60,General Dry Waste only,1,1.000,0,NULL,11
C100,2,Clear 1100LT Cart,CH129046,2020-08-21 00:00:00.0000000,20200821,758063,67.250,VRP,2023-08-21 00:00:00.0000000,SN,NULL,NULL,1,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,W,Rent 1100LT Co-Mingle Car,CH204971,2019-01-09 00:00:00.0000000,20190109,622620,1.000,VRP,2020-01-09 00:00:00.0000000,SN,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C140,1,Clear 1.5M Bin,CH459557,2020-07-01 00:00:00.0000000,20200701,743481,79.340,VRP,2022-06-30 00:00:00.0000000,R2,NULL,NULL,1,1.000,0,NULL,11
NULL,R,Tip P/Tonne 30M Bin (HL),CH231446,2021-04-01 00:00:00.0000000,20210401,1385504,115.100,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Tip P/Tonne 10M Skip Bin,CH216040,2021-02-03 00:00:00.0000000,20210203,879763,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
DCXCAEBASN,1,Clear 660LT Cart,CH513834,2019-07-01 00:00:00.0000000,20190701,618604,7.570,VRP,2024-06-30 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,11
DKVBAEBA1N,4,Clear 2.6M Bin,CH152050,2019-05-15 00:00:00.0000000,20190515,697431,73.060,VRP,2022-05-14 00:00:00.0000000,D,NULL,NULL,1,1.000,0,2021-11-15 01:51:51.6720000,43
c80,1,Clear 3.0M Bin,CH117334,2017-09-13 00:00:00.0000000,20170913,771873,47.290,VRP,2020-08-30 00:00:00.0000000,D,NULL,NULL,0,1.000,0,NULL,11
NULL,8,Grease Trap Serv Nil Chg,CH105427,2020-01-01 00:00:00.0000000,20200101,465432,0.000,VRP,2022-12-31 00:00:00.0000000,D,K110,Grease Trap Waste,1,2000.000,0,NULL,84
NULL,R,Tip P/M3 4.0M Bin (LO),CH532839,2021-06-22 00:00:00.0000000,20210622,1444470,0.000,VRP,2024-06-30 00:00:00.0000000,T,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,W,Rent 3.0M Bin,CH239303,2021-10-01 00:00:00.0000000,20211001,1520221,5.060,VRP,2024-09-30 00:00:00.0000000,S3,NULL,NULL,0,1.000,0,NULL,NULL
NULL,W,Rent 660LT Recycle Cart,CH118249,2019-07-01 00:00:00.0000000,20190701,674117,0.600,VRP,2020-10-26 00:00:00.0000000,D,NULL,NULL,0,1.000,1,2021-09-13 19:44:26.6820000,NULL
KMTSV00102,R,Clear 15M Bin,CH174530,2019-11-01 00:00:00.0000000,20191101,247713,189.000,VRP,2020-06-01 00:00:00.0000000,X,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,W,Rent 3.0M Bin,CH164672,2019-01-30 00:00:00.0000000,20190130,788862,1.000,VRP,2021-01-30 00:00:00.0000000,SN,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
c35,1,Clear 3.0M Rec Nil Charge,CH224506,2020-01-01 00:00:00.0000000,20200101,858749,0.000,VRP,2022-12-31 00:00:00.0000000,D,10,Cardboard Recycle,1,7.000,0,NULL,11
E25,4,Clear 1100LT Recycle Cart,CH198682,2019-05-28 00:00:00.0000000,20190528,232433,10.900,VRP,2022-05-28 00:00:00.0000000,RN,20,Plastic-LDPE Recycle,1,1.000,1,2021-08-31 07:48:37.9030000,NULL
c100,4,Clear 1.5M Bin,CH202268,2019-07-11 00:00:00.0000000,20190711,621429,73.800,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
E25,4,Clear 1100LT Recycle Cart,CH259357,2015-11-24 00:00:00.0000000,20151124,35254,15.700,VRP,2018-11-24 00:00:00.0000000,S3,NULL,NULL,0,1.000,0,NULL,43
NULL,R,Tip P/M3 4.0M Skip,CH523869,2020-12-31 00:00:00.0000000,20201231,867619,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
DD9CAEBANO,1,Clear 240LT Cart,CH181350,2018-08-01 00:00:00.0000000,20180801,407385,9.480,VRP,2021-07-31 00:00:00.0000000,D,NULL,NULL,0,5.000,0,NULL,11
C100,2,Clear 0.75M Bin,CH46215,2018-02-06 00:00:00.0000000,20180206,598725,44.850,VRP,2021-02-05 00:00:00.0000000,SN,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
E25,1,Clear 240LT Rec Nil Chg,CH180459,2017-06-30 00:00:00.0000000,20170630,653467,0.000,VRP,2050-06-30 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,11
NULL,R,Clear 10M Bin (LO),CH496568,2020-07-01 00:00:00.0000000,20200701,806147,571.200,VRP,2022-06-30 00:00:00.0000000,R2,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,PortableToilet ServNilChg,CH238712,2021-05-04 00:00:00.0000000,20210504,1407874,0.000,VRP,2022-05-04 00:00:00.0000000,T,NULL,NULL,0,1.000,1,2021-10-24 08:41:45.6420000,REQ
C80,2,Clear 3.0M Recycle Bin,CH239302,2021-10-01 00:00:00.0000000,20211001,1519630,54.370,VRP,2024-09-30 00:00:00.0000000,S3,NULL,NULL,1,1.000,0,NULL,22
NULL,1,Deliver 64LT Clinical Bin,CH474715,2021-05-02 00:00:00.0000000,20210502,481166,35.510,VRP,2022-05-02 00:00:00.0000000,R1,NULL,NULL,0,1.000,0,NULL,NULL
c100,4,Clear 3.0M Bin,CH229323,2021-02-04 00:00:00.0000000,20210204,883410,114.140,VRP,2022-02-04 00:00:00.0000000,S1,NULL,NULL,1,1.000,0,NULL,41
E95,4,Clear 240LT Cart,CH215820,2021-07-01 00:00:00.0000000,20210701,751721,24.950,VRP,2022-06-30 00:00:00.0000000,SO,NULL,NULL,1,4.000,0,NULL,41
E80,R,Clear 240LT Cart,CH509900,2020-03-12 00:00:00.0000000,20200312,656163,96.180,VRP,2021-02-12 00:00:00.0000000,N,NULL,NULL,0,1.000,0,NULL,REQ
NULL,R,Clear Customer 4.5M Recyc,CH269108,2019-07-01 00:00:00.0000000,NULL,362216,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C80,R,Clear 1.5M Bin,CH224629,2020-03-04 00:00:00.0000000,20200304,519312,54.900,VRP,2050-03-04 00:00:00.0000000,T,NULL,NULL,0,1.000,0,2021-11-15 01:51:51.6720000,REQ
U185,R,Clear 4.5M Bin,CH181454,2019-11-01 00:00:00.0000000,20191101,193081,175.100,VRP,2020-06-01 00:00:00.0000000,X,NULL,NULL,0,1.000,0,NULL,REQ
C80,1,Clear 3.0M Bin,CH507495,2020-02-14 00:00:00.0000000,20200214,623916,12.100,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C60,1,Clear 3.0M Bin,CH262200,2019-12-01 00:00:00.0000000,20191201,452915,53.460,VRP,2022-11-30 00:00:00.0000000,D,60,General Dry Waste only,1,1.000,0,NULL,11
NULL,M,Rent Monthly 3.0m Bin,CH217429,2020-07-01 00:00:00.0000000,20200701,712411,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
DADBABBA6C,1,Clear 4.5M Recycle Bin,CH262346,2019-09-01 00:00:00.0000000,20190901,241797,20.080,VRP,2022-08-31 00:00:00.0000000,D,10,Cardboard Recycle,1,2.000,0,NULL,11
NULL,V,Oily Water Service P/Load,CH31735,2018-02-28 00:00:00.0000000,20180228,687204,290.650,VRP,2020-02-27 00:00:00.0000000,R2,NULL,NULL,0,1.000,0,NULL,REQ
C80,1,Clear 3.0M Bin,CH68532,2020-01-24 00:00:00.0000000,20200124,670858,67.690,VRP,2023-01-23 00:00:00.0000000,S3,NULL,NULL,1,1.000,0,NULL,11
E60,2,Clear 1100LT Co-Mingle Ni,CH191079,2019-11-01 00:00:00.0000000,20191101,434068,0.000,VRP,2020-06-01 00:00:00.0000000,D,NULL,NULL,0,4.000,0,NULL,21
C25,2,Clear 3.0M Recycle Bin,CH236093,2017-12-05 00:00:00.0000000,20171205,191651,25.000,VRP,2020-12-05 00:00:00.0000000,S3,NULL,NULL,0,1.000,0,NULL,21
NULL,12,Clear 240LT Conf Cart,CH251476,2021-08-20 00:00:00.0000000,20210820,1504006,45.020,VRP,2026-08-19 00:00:00.0000000,S5,NULL,NULL,1,1.000,0,NULL,C3
C60,2,Clear 240LT Recycle Cart,CH56516,2019-05-14 00:00:00.0000000,20190514,463974,13.420,VRP,2022-05-14 00:00:00.0000000,SN,NULL,NULL,1,1.000,0,NULL,22
NULL,Y00,12 Mth Rent 4.0M Bin (LO),CH215954,2021-02-08 00:00:00.0000000,20210208,878557,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
E80,R,Clear 1.1M Bin,CH254599,2015-11-01 00:00:00.0000000,20151101,3359,44.660,VRP,2021-07-31 00:00:00.0000000,D,60,General Dry Waste only,0,4.000,1,2021-08-31 07:48:37.9030000,NULL
NULL,W,Rent 1.5M Bin,CH229434,2019-03-14 00:00:00.0000000,20190314,396086,3.000,VRP,2022-03-14 00:00:00.0000000,RN,NULL,NULL,0,1.000,0,NULL,NULL
NULL,R,Tip P/Tonne 30M Bin,CH193548,2020-01-01 00:00:00.0000000,NULL,356694,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
e100,R,Clear 1.1M Bin,CH229236,2021-02-08 00:00:00.0000000,20210208,882472,90.470,VRP,2024-02-08 00:00:00.0000000,S3,NULL,NULL,1,1.000,0,NULL,REQ
NULL,12,Clear 240LT Conf Nil Chg,CH114260,2020-01-01 00:00:00.0000000,20200101,608090,0.000,VRP,2022-12-31 00:00:00.0000000,D,70,Confidential Destruction,1,1.000,0,NULL,C5
C150,R,Clear 3.0M Clean Nil Chg,CH234376,2021-06-17 00:00:00.0000000,20210617,1439355,0.000,VRP,2021-11-01 00:00:00.0000000,T,NULL,NULL,0,1.000,0,NULL,REQ
E60,2,Clear 240LT Co-Mingle Car,CH214583,2020-08-10 00:00:00.0000000,20200810,731909,27.170,VRP,2024-08-10 00:00:00.0000000,S4,NULL,NULL,1,1.000,0,NULL,22
NULL,R,Clear Clinical Waste P/KG,CH519118,2021-05-02 00:00:00.0000000,20210502,824593,1.020,VRP,2022-05-02 00:00:00.0000000,R1,NULL,NULL,1,1.000,0,NULL,REQ
NULL,Y00,12 Mth Rent 3.0M Bin,CH262429,2019-12-01 00:00:00.0000000,20191201,94237,0.000,VRP,2022-11-30 00:00:00.0000000,D,NULL,NULL,0,1.000,0,NULL,NULL
DAGBAEBA2J,1,Clear 3.0M Bin,CH302372,2020-07-01 00:00:00.0000000,20200701,824437,94.880,VRP,2021-10-31 00:00:00.0000000,D,NULL,NULL,0,1.000,0,NULL,11
C80,1,Clear 4.5M Bin,CH209377,2020-01-24 00:00:00.0000000,20200124,777938,149.260,VRP,2023-01-23 00:00:00.0000000,S3,NULL,NULL,1,2.000,0,NULL,11
SIMSV00069,R,Clear 12M Skip Bin,CH265991,2020-03-13 00:00:00.0000000,NULL,291755,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C80,R,Clear 4.5M Bin,CH66647,2020-08-01 00:00:00.0000000,20200801,592246,122.690,VRP,2022-08-01 00:00:00.0000000,R2,60,General Dry Waste only,1,1.000,0,NULL,REQ
NULL,R,Remove 64LT Clinical Bin,CH474716,2021-05-02 00:00:00.0000000,20210502,616740,0.000,VRP,2022-05-02 00:00:00.0000000,R1,NULL,NULL,0,1.000,0,NULL,NULL
NULL,W,Rent 3.0M Bin,CH49853,1994-01-18 00:00:00.0000000,19940118,423664,5.500,VRP,2006-01-01 00:00:00.0000000,N,NULL,NULL,0,1.000,0,NULL,NULL
NULL,R,Clear 1.5M Bin,CH126595,2020-05-21 00:00:00.0000000,NULL,572491,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,1,Tip P/LTR Grease Trap,CH210226,2019-09-01 00:00:00.0000000,20190901,471186,0.188,VRP,2020-08-31 00:00:00.0000000,X,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Clear 15M Bin Nil Charge,CH169806,2020-01-01 00:00:00.0000000,20200101,186292,0.000,VRP,2022-12-31 00:00:00.0000000,T,NULL,NULL,0,1.000,0,NULL,REQ
C40,1,Clear 1.5M Recycle Bin,CH292854,2020-03-09 00:00:00.0000000,20200309,624110,15.000,VRP,2023-03-08 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,11
