Weight_Density,Charge_Cycle,Charge_Description,Charge_ID,Contract_Start_Date,SK_Contract_Start_Date,SK_Charge,Price,SOURCE_SYSTEM,Contract_Stop_Date,Contract_Type,Charge_Waste_Code,Charge_Waste_Code_Description,Is_Contracted,Units,Is_Deleted,Deletion_Date,Charge_Frequency
NULL,R,Clear 12M Bin,CH241399,2021-06-22 00:00:00.0000000,20210622,1425262,920.000,VRP,2021-09-22 00:00:00.0000000,T,NULL,NULL,0,1.000,1,2021-10-01 20:16:33.6790000,NULL
E47,6,Clear 1.5M Bin,CH39198,2009-02-03 00:00:00.0000000,NULL,727154,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,W,Rent 3.0M Bin,CH233124,2021-05-04 00:00:00.0000000,20210504,1414089,1.500,VRP,2025-05-04 00:00:00.0000000,S4,NULL,NULL,0,1.000,0,NULL,NULL
C80,1,Clear 3.0M Bin,CH220364,2021-10-01 00:00:00.0000000,20211001,542422,85.000,VRP,2022-10-01 00:00:00.0000000,SN,NULL,NULL,1,3.000,0,NULL,11
NULL,R,Tip P/Tonne 11M Bin (HL),CH239463,2021-10-05 00:00:00.0000000,20211005,1522204,225.000,VRP,2050-12-31 00:00:00.0000000,T,NULL,NULL,0,1.000,1,2021-11-15 01:51:51.6720000,REQ
NULL,W,Rent 1.1M Bin,CH254600,2015-11-01 00:00:00.0000000,20151101,425905,1.550,VRP,2021-07-31 00:00:00.0000000,D,NULL,NULL,0,7.000,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Clear 3.0M Bin,CH130025,2020-09-28 00:00:00.0000000,NULL,826250,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Clear 6.0M Bin (LO),CH536399,2021-06-10 00:00:00.0000000,20210610,1493551,375.000,VRP,2022-06-09 00:00:00.0000000,T,NULL,NULL,0,1.000,1,2021-10-24 08:41:45.6420000,REQ
NULL,W,Rent 1100LT Cart,CH158025,2017-09-13 00:00:00.0000000,20170913,806633,2.700,VRP,2022-09-13 00:00:00.0000000,SN,NULL,NULL,0,1.000,0,NULL,NULL
C80,1,Clear 3.0M Bin,CH10948,2019-02-28 00:00:00.0000000,20190228,663398,151.300,VRP,2021-02-28 00:00:00.0000000,R2,NULL,NULL,0,1.000,0,NULL,11
NULL,M,Rent Monthly 1100LT Co-Mi,CH114247,2011-10-04 00:00:00.0000000,20111004,635026,6.500,VRP,2050-12-31 00:00:00.0000000,SO,NULL,NULL,0,1.000,0,NULL,NULL
C100,3,Clear 1.1M Bin Nil Charge,CH224936,2020-01-01 00:00:00.0000000,20200101,357510,0.000,VRP,2022-12-31 00:00:00.0000000,D,60,General Dry Waste only,1,1.000,0,NULL,32
NULL,1,Clear 660LT Co-Mingle Car,CH195461,2021-01-01 00:00:00.0000000,20210101,696200,12.530,VRP,2026-12-31 00:00:00.0000000,N,NULL,NULL,0,2.000,0,NULL,11
C40,1,Clear 240LT Recycle Cart,CH301324,2020-09-04 00:00:00.0000000,20200904,817509,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
c100,1,Clear 3.0M Bin,CH11876,2017-08-16 00:00:00.0000000,NULL,436214,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
c80,1,Clear Customer 140LT Cart,CH68855,2019-01-30 00:00:00.0000000,20190130,526524,6.650,VRP,2020-01-29 00:00:00.0000000,SN,NULL,NULL,0,12.000,0,NULL,11
C040,R,Clear 1.5M Recycle Bin,CH22517,2021-10-22 00:00:00.0000000,20211022,606357,15.000,VRP,2023-10-22 00:00:00.0000000,R2,NULL,NULL,1,1.000,0,NULL,REQ
NULL,R,Clear 15M Bin Nil Charge,CH128763,2020-01-01 00:00:00.0000000,NULL,684878,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C50,1,Clear 240LT Co-Mingle Car,CH510081,2020-04-01 00:00:00.0000000,NULL,547296,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Accommodation Charge,CH502384,2019-11-28 00:00:00.0000000,20191128,520467,223.640,VRP,2020-11-27 00:00:00.0000000,N,NULL,NULL,0,1.000,0,NULL,REQ
C90,2,Clear 660LT Recycle Cart,CH117677,2019-07-01 00:00:00.0000000,20190701,461888,11.430,VRP,2021-10-22 00:00:00.0000000,D,NULL,NULL,0,1.000,0,NULL,21
NULL,3,Clear 120LT Conf Cart,CH191747,2019-11-01 00:00:00.0000000,20191101,375017,18.500,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C100,4,Clear 1.5M Bin,CH131217,2020-11-09 00:00:00.0000000,20201109,844705,59.860,VRP,2023-11-09 00:00:00.0000000,S3,NULL,NULL,1,1.000,0,NULL,44
C50,1,Clear 660LT Co-Mingle Car,CH54183,2018-04-26 00:00:00.0000000,20180426,474433,28.930,VRP,2021-04-26 00:00:00.0000000,SN,NULL,NULL,0,3.000,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Tip P/Tonne 9.0M Bin (LO),CH524547,2021-01-18 00:00:00.0000000,20210118,873673,176.930,VRP,2022-01-17 00:00:00.0000000,N,NULL,NULL,0,1.000,0,NULL,REQ
C100,2,Clear 1.5M Bin,CH222517,2020-11-05 00:00:00.0000000,20201105,849469,40.000,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C100,1,Clear 240LT Organics,CH305325,2020-12-01 00:00:00.0000000,20201201,844640,15.440,VRP,2021-12-01 00:00:00.0000000,S1,NULL,NULL,1,1.000,0,NULL,11
c80,1,Clear 1.5M Bin,CH117332,2017-09-13 00:00:00.0000000,20170913,645209,29.750,VRP,2020-08-30 00:00:00.0000000,D,NULL,NULL,0,1.000,0,NULL,11
C100,4,Clear 3.0M Bin,CH224755,2020-11-05 00:00:00.0000000,20201105,841851,103.790,VRP,2022-11-05 00:00:00.0000000,S2,NULL,NULL,1,1.000,0,NULL,42
C1000,R,Clear 6.0M Bin (LO),CH133530,2021-02-05 00:00:00.0000000,20210205,881743,445.000,VRP,2021-05-05 00:00:00.0000000,T,NULL,NULL,0,1.000,1,2021-11-15 01:51:51.6720000,REQ
C70,1,Clear 1.5M Bin,CH138117,2021-01-01 00:00:00.0000000,20210101,1480014,41.470,VRP,2030-12-31 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,11
U140,4,Clear 1.5M Bin,CH245525,2017-06-30 00:00:00.0000000,20170630,770393,156.350,VRP,2020-06-30 00:00:00.0000000,S3,NULL,NULL,0,1.000,0,NULL,42
C80,1,Clear 240LT Cart,CH510079,2020-04-01 00:00:00.0000000,NULL,511768,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
EGFSV00803,4,Clear 4.5M Recycle Bin,CH218408,2019-10-01 00:00:00.0000000,20191001,644150,11.830,VRP,2023-09-30 00:00:00.0000000,D,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C80,R,Clear 240LT Cart,CH64443,2020-08-01 00:00:00.0000000,20200801,747563,10.360,VRP,2022-08-01 00:00:00.0000000,R2,60,General Dry Waste only,1,50.000,0,NULL,NULL
NULL,R,Tip P/Tonne 8.0M Skip Bin,CH55831,2020-12-01 00:00:00.0000000,20201201,635228,98.000,VRP,2023-11-30 00:00:00.0000000,R3,NULL,NULL,1,1.000,0,NULL,REQ
DACBAEBA2K,R,Clear 3.0M Bin,CH193874,2019-05-15 00:00:00.0000000,20190515,655040,42.250,VRP,2022-05-14 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,REQ
E25,1,Clear 360LT Rec Nil Chg,CH180465,2017-06-30 00:00:00.0000000,20170630,542875,0.000,VRP,2050-06-30 00:00:00.0000000,D,NULL,NULL,1,3.000,0,NULL,11
NULL,1,Tip P/Tonne 30M Bin (HL),CH480920,2019-10-01 00:00:00.0000000,20191001,543599,155.000,VRP,2021-09-30 00:00:00.0000000,R2,NULL,NULL,0,1.000,0,NULL,11
NULL,R,Clear 30M Bin (HL),CH507709,2020-02-19 00:00:00.0000000,20200219,584762,198.140,VRP,2021-02-18 00:00:00.0000000,SO,NULL,NULL,0,2.000,1,2021-11-15 01:51:51.6720000,REQ
NULL,R,Clear 12M Recyc Nil Chg,CH230190,2020-01-01 00:00:00.0000000,20200101,882217,0.000,VRP,2022-12-31 00:00:00.0000000,T,59,Metal Mixed Recycle,0,1.000,0,NULL,REQ
C40,1,Clear 3.0M Rec Nil Charge,CH219287,2021-05-18 00:00:00.0000000,20210518,1419943,0.000,VRP,2024-05-18 00:00:00.0000000,D,NULL,NULL,1,2.000,0,NULL,11
c100,R,Clear 1.5M Bin,CH109414,2018-05-04 00:00:00.0000000,20180504,725334,70.670,VRP,2021-05-03 00:00:00.0000000,SN,NULL,NULL,0,1.000,0,NULL,REQ
C80,R,Clear 240LT Cart,CH66664,2020-08-01 00:00:00.0000000,20200801,706360,10.360,VRP,2022-08-01 00:00:00.0000000,R2,60,General Dry Waste only,1,15.000,0,NULL,NULL
C20,1,Clear 3.0M Rec Nil Charge,CH255405,2020-10-01 00:00:00.0000000,20201001,409752,0.000,VRP,2021-10-01 00:00:00.0000000,S1,10,Cardboard Recycle,0,1.000,0,NULL,11
C100,4,Clear 4.5M Bin,CH239311,2019-05-28 00:00:00.0000000,20190528,352873,190.020,VRP,2022-05-28 00:00:00.0000000,RN,60,General Dry Waste only,1,1.000,0,NULL,42
E80,2,Contract Clear 240LT Cart,CH215441,2021-07-01 00:00:00.0000000,20210701,457170,0.000,VRP,2022-06-30 00:00:00.0000000,SO,NULL,NULL,1,1.000,0,NULL,21
NULL,R,Levy Environmental Permit,CH470129,2021-05-02 00:00:00.0000000,20210502,691619,30.330,VRP,2022-05-02 00:00:00.0000000,R1,NULL,NULL,0,1.000,0,NULL,REQ
NULL,W,Rent 1100LT Cart,CH211574,2019-05-13 00:00:00.0000000,20190513,556755,3.000,VRP,2022-05-13 00:00:00.0000000,SN,NULL,NULL,0,1.000,0,NULL,NULL
DCXAAQDAAA,16,Grease Trap Service P/LTR,CH514014,2019-07-01 00:00:00.0000000,20190701,500929,0.170,VRP,2024-06-30 00:00:00.0000000,D,NULL,NULL,1,2000.000,0,NULL,G2
C80,2,Clear 240LT Cart,CH202490,2019-10-11 00:00:00.0000000,20191011,660436,13.780,VRP,2022-11-11 00:00:00.0000000,SO,NULL,NULL,1,1.000,0,NULL,21
NULL,R,Tip P/Tonne 6.0M Skip Bin,CH282253,2021-02-26 00:00:00.0000000,20210226,891290,217.670,VRP,2022-02-28 00:00:00.0000000,T,NULL,NULL,0,1.000,0,NULL,REQ
NULL,R,Tip P/Tonne 4.0M Skip Bin,CH280304,2021-01-20 00:00:00.0000000,20210120,874590,220.000,VRP,2022-01-31 00:00:00.0000000,T,NULL,NULL,0,1.000,0,NULL,REQ
E233,2,Clear 3.0M Bin,CH159858,2014-11-01 00:00:00.0000000,20141101,521296,164.410,VRP,2017-11-01 00:00:00.0000000,N,NULL,NULL,0,2.000,0,NULL,22
NULL,R,Tip P/Tonne 15M Bin (HL),CH205849,2018-12-01 00:00:00.0000000,20181201,592577,0.000,VRP,2021-11-30 00:00:00.0000000,S3,NULL,NULL,1,1.000,0,NULL,REQ
NULL,R,Clear 3.0M Bin (LO),CH291054,2020-02-20 00:00:00.0000000,20200220,513707,667.410,VRP,2021-02-20 00:00:00.0000000,T,NULL,NULL,0,1.000,0,NULL,REQ
NULL,R,Clear 3.0M Skip Bin,CH240644,2021-02-01 00:00:00.0000000,20210201,879072,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,W,Rent 3.0M Recycle Bin,CH85293,2014-02-26 00:00:00.0000000,20140226,714227,3.500,VRP,2017-02-26 00:00:00.0000000,S3,NULL,NULL,0,1.000,0,NULL,NULL
NULL,R,Tip P/Tonne 23M Skip Bin,CH245340,2018-11-01 00:00:00.0000000,20181101,432635,225.300,VRP,2021-11-01 00:00:00.0000000,S3,NULL,NULL,1,1.000,1,2021-10-04 19:10:34.2550000,NULL
C25,1,Clear 240LT Co-Mingle Car,CH262202,2019-12-01 00:00:00.0000000,20191201,391657,6.300,VRP,2022-11-30 00:00:00.0000000,D,30,Comingle Recycle,1,2.000,0,NULL,11
NULL,R,Tip P/Tonne 6.0M Bin (LO),CH220033,2021-06-10 00:00:00.0000000,20210610,1435746,170.000,VRP,2022-06-10 00:00:00.0000000,T,NULL,NULL,0,1.000,1,2021-09-01 19:43:05.3540000,NULL
C200,1,Clear 3.0M Bin,CH305334,2020-12-01 00:00:00.0000000,20201201,844890,195.250,VRP,2021-12-01 00:00:00.0000000,S1,NULL,NULL,1,1.000,0,NULL,11
